"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 23 22:55:40 BDT 2024","Sat Mar 23 22:55:44 BDT 2024","3961","Suite","Test","testcases.TestHomePage","testcases.TestHomePage","testHomePageTitle","testHomePageTitle",""
"passed","Sat Mar 23 22:58:26 BDT 2024","Sat Mar 23 22:58:27 BDT 2024","721","All Test Suite","C:/Users/mmrjrs/IdeaProjects/POM_NopCommerce/src/test/java/testcases","testcases.TestLoginSwagLab","testcases.TestLoginSwagLab","testLoginWithInvalidCredentials","testLoginWithInvalidCredentials",""
"passed","Sat Mar 23 22:58:04 BDT 2024","Sat Mar 23 22:58:05 BDT 2024","671","All Test Suite","C:/Users/mmrjrs/IdeaProjects/POM_NopCommerce/src/test/java/testcases","testcases.TestLoginSwagLab","testcases.TestLoginSwagLab","testLoginWithInvalidCredentials","testLoginWithInvalidCredentials",""
"passed","Sat Mar 23 22:55:36 BDT 2024","Sat Mar 23 22:55:42 BDT 2024","5470","Suite","Test","testcases.TestHomePage","testcases.TestHomePage","testHomePageRegistrationButton","testHomePageRegistrationButton",""
"passed","Sat Mar 23 22:55:56 BDT 2024","Sat Mar 23 22:55:58 BDT 2024","2837","Suite","Test","testcases.TestLogin","testcases.TestLogin","testLoginWithValidCredentials","testLoginWithValidCredentials",""
"passed","Sat Mar 23 22:55:32 BDT 2024","Sat Mar 23 22:55:38 BDT 2024","5697","Suite","Test","testcases.TestHomePage","testcases.TestHomePage","testHomePageLoginButton","testHomePageLoginButton",""
"passed","Sat Mar 23 22:57:33 BDT 2024","Sat Mar 23 22:57:35 BDT 2024","1837","All Test Suite","C:/Users/mmrjrs/IdeaProjects/POM_NopCommerce/src/test/java/testcases","testcases.TestLoginSwagLab","testcases.TestLoginSwagLab","testLoginWithValidCredentials","testLoginWithValidCredentials",""
"passed","Sat Mar 23 22:58:33 BDT 2024","Sat Mar 23 22:58:34 BDT 2024","789","All Test Suite","C:/Users/mmrjrs/IdeaProjects/POM_NopCommerce/src/test/java/testcases","testcases.TestLoginSwagLab","testcases.TestLoginSwagLab","testLoginWithInvalidCredentials","testLoginWithInvalidCredentials",""
"passed","Sat Mar 23 22:58:42 BDT 2024","Sat Mar 23 22:58:42 BDT 2024","526","All Test Suite","C:/Users/mmrjrs/IdeaProjects/POM_NopCommerce/src/test/java/testcases","testcases.TestSwagLabProduct","testcases.TestSwagLabProduct","testAddTCartButton","Test product page Add to cart button","Allure Description Test product page Add to cart button"
"passed","Sat Mar 23 22:57:42 BDT 2024","Sat Mar 23 22:57:42 BDT 2024","682","All Test Suite","C:/Users/mmrjrs/IdeaProjects/POM_NopCommerce/src/test/java/testcases","testcases.TestLoginSwagLab","testcases.TestLoginSwagLab","testLoginWithoutPassword","testLoginWithoutPassword",""
